SR Tendulkar,INDIA,1989,2012,463,452,41,18426,200,44.83,21367,86.23,49,96,20
KC Sangakkara,Asia,2000,2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
KC Sangakkara,ICC,2000,2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
KC Sangakkara,SL,2000,2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
RT Ponting,AUS,1995,2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
RT Ponting,ICC,1995,2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
ST Jayasuriya,Asia,1989,2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34
ST Jayasuriya,SL,1989,2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34
DPMD Jayawardene,Asia,1998,2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
DPMD Jayawardene,SL,1998,2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
Inzamam-ul-Haq,Asia,1991,2007,378,350,53,11739,137,39.52,15812,74.24,10,83,20
Inzamam-ul-Haq,PAK,1991,2007,378,350,53,11739,137,39.52,15812,74.24,10,83,20
JH Kallis,Afr,1996,2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
JH Kallis,ICC,1996,2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
JH Kallis,SA,1996,2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
SC Ganguly,Asia,1992,2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16
SC Ganguly,INDIA,1992,2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16
R Dravid,Asia,1996,2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
R Dravid,ICC,1996,2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
R Dravid,INDIA,1996,2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
BC Lara,ICC,1990,2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
BC Lara,WI,1990,2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
TM Dilshan,SL,1999,2016,330,303,41,10290,161,39.27,11933,86.23,22,47,11
Mohammad Yousuf,Asia,1998,2010,288,273,40,9720,141,41.71,12942,75.1,15,64,15
Mohammad Yousuf,PAK,1998,2010,288,273,40,9720,141,41.71,12942,75.1,15,64,15
AC Gilchrist,AUS,1996,2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
AC Gilchrist,ICC,1996,2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
M Azharuddin,INDIA,1985,2000,334,308,54,9378,153,36.92,12669,74.02,7,58,9
PA de Silva,SL,1984,2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17
MS Dhoni,Asia,2004,2017,286,249,67,9275,183,50.96,10423,88.98,10,61,8
MS Dhoni,INDIA,2004,2017,286,249,67,9275,183,50.96,10423,88.98,10,61,8
CH Gayle,ICC,1999,2015,269,264,17,9221,215,37.33,10834,85.11,22,47,23
CH Gayle,WI,1999,2015,269,264,17,9221,215,37.33,10834,85.11,22,47,23
AB de Villiers,Afr,2005,2017,216,207,38,9175,162,54.28,9160,100.16,24,52,6
AB de Villiers,SA,2005,2017,216,207,38,9175,162,54.28,9160,100.16,24,52,6
Saeed Anwar,PAK,1989,2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
S Chanderpaul,WI,1994,2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6
DL Haynes,WI,1978,1994,238,237,28,8648,152,41.37,13707,63.09,17,57,13
Yuvraj Singh,Asia,2000,2017,296,271,39,8539,150,36.8,9743,87.64,14,51,18
Yuvraj Singh,INDIA,2000,2017,296,271,39,8539,150,36.8,9743,87.64,14,51,18
MS Atapattu,SL,1990,2007,268,259,32,8529,132,37.57,12594,67.72,11,59,13
ME Waugh,AUS,1988,2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16
V Sehwag,Asia,1999,2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
V Sehwag,ICC,1999,2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
V Sehwag,INDIA,1999,2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
HH Gibbs,SA,1996,2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
Shahid Afridi,Asia,1996,2015,398,369,27,8064,124,23.57,6892,117,6,39,30
Shahid Afridi,ICC,1996,2015,398,369,27,8064,124,23.57,6892,117,6,39,30
Shahid Afridi,PAK,1996,2015,398,369,27,8064,124,23.57,6892,117,6,39,30
SP Fleming,ICC,1994,2007,280,269,21,8037,134,32.4,11242,71.49,8,49,17
SP Fleming,NZ,1994,2007,280,269,21,8037,134,32.4,11242,71.49,8,49,17
MJ Clarke,AUS,2003,2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
V Kohli,INDIA,2008,2017,179,171,25,7755,183,53.11,8544,90.76,27,39,10
SR Waugh,AUS,1986,2002,325,288,58,7569,120,32.9,9971,75.91,3,45,15
A Ranatunga,SL,1982,1999,269,255,47,7456,131,35.84,9571,77.9,4,49,18
Javed Miandad,PAK,1975,1996,233,218,41,7381,119,41.7,11014,67.01,8,50,8
Younis Khan,PAK,2000,2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
Saleem Malik,PAK,1982,1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
NJ Astle,NZ,1995,2007,223,217,14,7090,145,34.92,9760,72.64,16,41,19
GC Smith,Afr,2002,2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
GC Smith,SA,2002,2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
MG Bevan,AUS,1994,2004,232,196,67,6912,108,53.58,9320,74.16,6,46,5
HM Amla,SA,2008,2017,150,147,10,6880,159,50.21,7721,89.1,24,31,3
G Kirsten,SA,1993,2003,185,185,19,6798,188,40.95,9436,72.04,13,45,11
A Flower,ZIM,1992,2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
IVA Richards,WI,1975,1991,187,167,24,6721,189,47,7451,90.2,11,45,7
GW Flower,ZIM,1992,2010,221,214,18,6571,142,33.52,9723,67.58,6,40,18
Ijaz Ahmed,PAK,1986,2000,250,232,29,6564,139,32.33,8174,80.3,10,37,14
Shoaib Malik,PAK,1999,2017,244,221,34,6548,143,35.01,8053,81.31,8,38,13
AR Border,AUS,1979,1994,273,252,39,6524,127,30.62,9134,71.42,3,39,11
RB Richardson,WI,1983,1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8
LRPL Taylor,NZ,2006,2017,183,169,28,6144,131,43.57,7487,82.06,17,33,9
ML Hayden,AUS,1993,2008,161,155,15,6133,181,43.8,7767,78.96,10,36,9
ML Hayden,ICC,1993,2008,161,155,15,6133,181,43.8,7767,78.96,10,36,9
BB McCullum,NZ,2002,2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20
DM Jones,AUS,1984,1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6
DC Boon,AUS,1984,1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6
JN Rhodes,SA,1992,2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12
Rameez Raja,PAK,1985,1997,198,197,15,5841,119,32.09,9226,63.31,9,31,15
WU Tharanga,Asia,2005,2017,198,187,12,5810,174,33.2,7815,74.34,14,30,15
WU Tharanga,SL,2005,2017,198,187,12,5810,174,33.2,7815,74.34,14,30,15
RR Sarwan,WI,2000,2013,181,169,33,5804,120,42.67,7663,75.74,5,38,8
CL Hooper,WI,1987,2003,227,206,43,5761,113,35.34,7517,76.63,7,29,7
SR Watson,AUS,2002,2015,190,169,27,5757,185,40.54,6365,90.44,9,33,12
SK Raina,INDIA,2005,2015,223,192,35,5568,116,35.46,5938,93.76,5,36,14
WJ Cronje,SA,1992,2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8
Mohammad Hafeez,PAK,2003,2017,182,182,10,5527,140,32.13,7387,74.82,11,29,16
MEK Hussey,AUS,2004,2012,185,157,44,5442,109,48.15,6243,87.16,3,39,3
IR Bell,ENG,2004,2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
MJ Guptill,NZ,2009,2017,143,140,16,5414,237,43.66,6179,87.61,12,32,12
A Jadeja,INDIA,1992,2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10
DR Martyn,AUS,1992,2006,208,182,51,5346,144,40.8,6877,77.73,5,37,10
EJG Morgan,ENG,2006,2017,176,165,24,5318,124,37.71,6045,87.97,10,31,12
EJG Morgan,IRE,2006,2017,176,165,24,5318,124,37.71,6045,87.97,10,31,12
BRM Taylor,ZIM,2004,2015,167,166,15,5258,145,34.82,7060,74.47,8,32,13
G Gambhir,INDIA,2003,2013,147,143,11,5238,150,39.68,6144,85.25,11,34,11
ADR Campbell,ZIM,1992,2003,188,184,14,5185,131,30.5,7834,66.18,7,30,11
MN Samuels,WI,2000,2016,187,177,26,5180,133,34.3,6794,76.24,10,28,10
RS Mahanama,SL,1986,1999,213,198,23,5162,119,29.49,8521,60.57,4,35,15
CG Greenidge,WI,1975,1991,128,127,13,5134,133,45.03,7908,64.92,11,31,3
RG Sharma,INDIA,2007,2016,153,147,23,5131,264,41.37,6077,84.43,10,29,10
Misbah-ul-Haq,PAK,2002,2015,162,149,31,5122,96,43.4,6945,73.75,0,42,6
Tamim Iqbal,BDESH,2007,2016,162,161,3,5120,154,32.4,6581,77.79,7,34,15
PD Collingwood,ENG,2001,2011,197,181,37,5092,120,35.36,6614,76.98,5,26,7
A Symonds,AUS,1998,2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
Abdul Razzaq,Asia,1996,2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14
Abdul Razzaq,PAK,1996,2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14
CL Cairns,ICC,1991,2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
CL Cairns,NZ,1991,2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
Aamer Sohail,PAK,1990,2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10
H Masakadza,ZIM,2001,2017,171,170,4,4715,178,28.4,6421,73.43,4,30,15
CD McMillan,NZ,1997,2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
MD Crowe,NZ,1982,1995,143,140,18,4704,107,38.55,6476,72.63,4,34,3
MV Boucher,Afr,1998,2011,295,221,57,4686,147,28.57,5528,84.76,1,26,16
MV Boucher,SA,1998,2011,295,221,57,4686,147,28.57,5528,84.76,1,26,16
AJ Stewart,ENG,1989,2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13
Shakib Al Hasan,BDESH,2006,2016,166,158,24,4650,134,34.7,5750,80.86,6,32,8
JP Duminy,SA,2004,2017,172,155,34,4529,150,37.42,5423,83.51,4,24,7
AD Mathews,SL,2008,2016,180,151,39,4492,139,40.1,5288,84.94,1,32,13
SB Styris,NZ,1999,2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
KP Pietersen,ENG,2004,2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
KP Pietersen,ICC,2004,2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
NS Sidhu,INDIA,1987,1998,136,127,8,4413,134,37.08,6329,69.72,6,33,7
CZ Harris,NZ,1990,2004,250,213,62,4379,130,29,6583,66.51,1,16,12
KS Williamson,NZ,2010,2017,111,105,10,4362,145,45.91,5205,83.8,8,29,5
GR Marsh,AUS,1986,1992,117,115,6,4357,126,39.97,7790,55.93,9,22,4
ME Trescothick,ENG,2000,2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
GA Gooch,ENG,1976,1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
E Chigumbura,Afr,2004,2016,205,190,24,4229,117,25.47,5231,80.84,2,19,16
E Chigumbura,ZIM,2004,2016,205,190,24,4229,117,25.47,5231,80.84,2,19,16
AJ Strauss,ENG,2003,2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
Mushfiqur Rahim,BDESH,2006,2016,165,152,23,4118,117,31.92,5390,76.4,4,23,9
K Srikkanth,INDIA,1981,1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
AJ Lamb,ENG,1982,1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
