M Muralitharan,Asia,1993,2011,350,341,18811,12326,534,7/30,23.08,3.93,35.2,15,10
M Muralitharan,ICC,1993,2011,350,341,18811,12326,534,7/30,23.08,3.93,35.2,15,10
M Muralitharan,SL,1993,2011,350,341,18811,12326,534,7/30,23.08,3.93,35.2,15,10
Wasim Akram,PAK,1984,2003,356,351,18186,11812,502,5/15,23.52,3.89,36.2,17,6
Waqar Younis,PAK,1989,2003,262,258,12698,9919,416,7/36,23.84,4.68,30.5,14,13
WPUJC Vaas,Asia,1994,2008,322,320,15775,11014,400,8/19,27.53,4.18,39.4,9,4
WPUJC Vaas,SL,1994,2008,322,320,15775,11014,400,8/19,27.53,4.18,39.4,9,4
Shahid Afridi,Asia,1996,2015,398,372,17670,13632,395,7/12,34.51,4.62,44.7,4,9
Shahid Afridi,ICC,1996,2015,398,372,17670,13632,395,7/12,34.51,4.62,44.7,4,9
Shahid Afridi,PAK,1996,2015,398,372,17670,13632,395,7/12,34.51,4.62,44.7,4,9
SM Pollock,Afr,1996,2008,303,297,15712,9631,393,6/35,24.5,3.67,39.9,12,5
SM Pollock,ICC,1996,2008,303,297,15712,9631,393,6/35,24.5,3.67,39.9,12,5
SM Pollock,SA,1996,2008,303,297,15712,9631,393,6/35,24.5,3.67,39.9,12,5
GD McGrath,AUS,1993,2007,250,248,12970,8391,381,7/15,22.02,3.88,34,9,7
GD McGrath,ICC,1993,2007,250,248,12970,8391,381,7/15,22.02,3.88,34,9,7
B Lee,AUS,2000,2012,221,217,11185,8877,380,5/22,23.36,4.76,29.4,14,9
A Kumble,Asia,1990,2007,271,265,14496,10412,337,6/12,30.89,4.3,43,8,2
A Kumble,INDIA,1990,2007,271,265,14496,10412,337,6/12,30.89,4.3,43,8,2
ST Jayasuriya,Asia,1989,2011,445,368,14874,11871,323,6/29,36.75,4.78,46,8,4
ST Jayasuriya,SL,1989,2011,445,368,14874,11871,323,6/29,36.75,4.78,46,8,4
J Srinath,INDIA,1991,2003,229,227,11935,8847,315,5/23,28.08,4.44,37.8,7,3
DL Vettori,ICC,1997,2015,295,277,14060,9674,305,5/7,31.71,4.12,46,8,2
DL Vettori,NZ,1997,2015,295,277,14060,9674,305,5/7,31.71,4.12,46,8,2
SK Warne,AUS,1993,2005,194,191,10642,7541,293,5/33,25.73,4.25,36.3,12,1
SK Warne,ICC,1993,2005,194,191,10642,7541,293,5/33,25.73,4.25,36.3,12,1
SL Malinga,SL,2004,2015,191,185,9207,8082,291,6/38,27.77,5.26,31.6,9,7
AB Agarkar,INDIA,1998,2007,191,188,9484,8021,288,6/42,27.85,5.07,32.9,10,2
Saqlain Mushtaq,PAK,1995,2003,169,165,8770,6275,288,5/20,21.78,4.29,30.4,11,6
Z Khan,Asia,2000,2012,200,197,10097,8301,282,5/42,29.43,4.93,35.8,7,1
Z Khan,INDIA,2000,2012,200,197,10097,8301,282,5/42,29.43,4.93,35.8,7,1
JH Kallis,Afr,1996,2014,328,283,10750,8680,273,5/30,31.79,4.84,39.3,2,2
